train_set,delx,dely,alpha,eta,lt,theta,k,l1,l2,kde.bw,kde.lags,kde.win,pei,pai
train_13,125,125,0.0526315789473684,0.5,7,0,50,1e-04,5e-04,250,3,10,0.0198347107438017,6.47950670000615
train_13,125,125,0.0526315789473684,0.5,7,0,50,1e-04,0.001,250,3,10,0.0214876033057851,7.01946559167333
train_13,125,125,0.0526315789473684,0.5,7,0,50,5e-04,0,250,3,10,0.0264462809917355,8.63934226667486
train_13,125,125,0.0526315789473684,0.5,7,0,50,5e-04,1e-05,250,3,10,0.0264462809917355,8.63934226667486
train_13,125,125,0.0526315789473684,0.5,7,0,50,5e-04,5e-05,250,3,10,0.0181818181818182,5.93954780833897
train_13,125,125,0.0526315789473684,0.5,7,0,50,5e-04,1e-04,250,3,10,0.0148760330578512,4.85963002500461
train_13,125,125,0.0526315789473684,0.5,7,0,50,5e-04,5e-04,250,3,10,0.0264462809917355,8.63934226667486
train_13,125,125,0.0526315789473684,0.5,7,0,50,5e-04,0.001,250,3,10,0.0264462809917355,8.63934226667486
train_13,125,125,0.0526315789473684,0.5,7,0,50,0.001,0,250,3,10,0.0264462809917355,8.63934226667486
train_13,125,125,0.0526315789473684,0.5,7,0,50,0.001,1e-05,250,3,10,0.0264462809917355,8.63934226667486
train_13,125,125,0.0526315789473684,0.5,7,0,50,0.001,5e-05,250,3,10,0.0181818181818182,5.93954780833897
train_13,125,125,0.0526315789473684,0.5,7,0,50,0.001,1e-04,250,3,10,0.0148760330578512,4.85963002500461
train_13,125,125,0.0526315789473684,0.5,7,0,50,0.001,5e-04,250,3,10,0.0264462809917355,8.63934226667486
train_13,125,125,0.0526315789473684,0.5,7,0,50,0.001,0.001,250,3,10,0.0264462809917355,8.63934226667486
train_13,125,125,0.105263157894737,0.5,7,0,50,0,0,250,3,10,0.191717791411043,61.6203087018332
train_13,125,125,0.105263157894737,0.5,7,0,50,0,1e-05,250,3,10,0.0812883435582822,26.1270108895773
train_13,125,125,0.105263157894737,0.5,7,0,50,0,5e-05,250,3,10,0.0245398773006135,7.88739951383464
