delx,dely,alpha,kde.bw,kde.lags,horizon,crime.type, pei,pai
425,600,0,800,1,1w,all,0.663,28.859
425,600,0,800,1,1w,street,0.542,47.619
425,600,0,800,1,1w,burglary,0.091,52.429
425,600,0,800,1,1w,vehicle,0.107,36.812
425,600,0,800,1,2w,all,0.708,28.879
425,600,0,800,1,2w,street,0.664,46.936
425,600,0,800,1,2w,burglary,0.036,20.597
425,600,0,800,1,2w,vehicle,0.133,25.075
425,600,0,800,1,1m,all,0.743,28.93
425,600,0,800,1,1m,street,0.74,45.974
425,600,0,800,1,1m,burglary,0.062,16.246
425,600,0,800,1,1m,vehicle,0.135,14.205
425,600,0,800,1,2m,all,0.769,29.144
425,600,0,800,1,2m,street,0.826,48.625
425,600,0,800,1,2m,burglary,0.057,8.544
425,600,0,800,1,2m,vehicle,0.091,8.286
425,600,0,800,1,3m,all,0.789,29.398
425,600,0,800,1,3m,street,0.833,48.182
425,600,0,800,1,3m,burglary,0.086,9.83
425,600,0,800,1,3m,vehicle,0.136,10.052
425,600,0,1000,1,1w,all,0.712,30.997
425,600,0,1000,1,1w,street,0.578,50.794
425,600,0,1000,1,1w,burglary,0,0
425,600,0,1000,1,1w,vehicle,0.036,12.271
425,600,0,1000,1,2w,all,0.75,30.601
425,600,0,1000,1,2w,street,0.679,48.015
425,600,0,1000,1,2w,burglary,0,0
425,600,0,1000,1,2w,vehicle,0.067,12.537
425,600,0,1000,1,1m,all,0.772,30.06
425,600,0,1000,1,1m,street,0.729,45.291
425,600,0,1000,1,1m,burglary,0,0
425,600,0,1000,1,1m,vehicle,0.081,8.523
425,600,0,1000,1,2m,all,0.789,29.902
425,600,0,1000,1,2m,street,0.818,48.201
425,600,0,1000,1,2m,burglary,0,0
425,600,0,1000,1,2m,vehicle,0.073,6.629
425,600,0,1000,1,3m,all,0.81,30.154
425,600,0,1000,1,3m,street,0.816,47.18
425,600,0,1000,1,3m,burglary,0.029,3.277
425,600,0,1000,1,3m,vehicle,0.119,8.795
600,250,0,500,1,1w,all,0.582,32.475
600,250,0,500,1,1w,street,0.463,53.585
600,250,0,500,1,1w,burglary,0.091,53.098
600,250,0,500,1,1w,vehicle,0.064,37.282
600,250,0,500,1,2w,all,0.616,30.674
600,250,0,500,1,2w,street,0.561,50.267
600,250,0,500,1,2w,burglary,0.036,20.86
600,250,0,500,1,2w,vehicle,0.1,31.744
600,250,0,500,1,1m,all,0.677,31.796
600,250,0,500,1,1m,street,0.663,49.788
600,250,0,500,1,1m,burglary,0.02,8.227
600,250,0,500,1,1m,vehicle,0.143,23.018
600,250,0,500,1,2m,all,0.712,32.381
600,250,0,500,1,2m,street,0.747,52.035
600,250,0,500,1,2m,burglary,0.02,4.327
600,250,0,500,1,2m,vehicle,0.132,15.106
600,250,0,500,1,3m,all,0.729,32.572
600,250,0,500,1,3m,street,0.768,51.296
600,250,0,500,1,3m,burglary,0.019,3.319
600,250,0,500,1,3m,vehicle,0.16,16.543
600,250,0,800,1,1w,all,0.543,30.31
600,250,0,800,1,1w,street,0.454,52.514
600,250,0,800,1,1w,burglary,0,0
600,250,0,800,1,1w,vehicle,0.043,24.855
600,250,0,800,1,2w,all,0.611,30.437
600,250,0,800,1,2w,street,0.537,48.082
600,250,0,800,1,2w,burglary,0,0
600,250,0,800,1,2w,vehicle,0.08,25.395
600,250,0,800,1,1m,all,0.65,30.548
600,250,0,800,1,1m,street,0.626,47.022
600,250,0,800,1,1m,burglary,0,0
600,250,0,800,1,1m,vehicle,0.125,20.141
600,250,0,800,1,2m,all,0.686,31.238
600,250,0,800,1,2m,street,0.709,49.353
600,250,0,800,1,2m,burglary,0,0
600,250,0,800,1,2m,vehicle,0.118,13.427
600,250,0,800,1,3m,all,0.713,31.844
600,250,0,800,1,3m,street,0.715,47.704
600,250,0,800,1,3m,burglary,0.019,3.319
600,250,0,800,1,3m,vehicle,0.16,16.543
600,250,0,1000,1,1w,all,0.59,32.939
600,250,0,1000,1,1w,street,0.454,52.514
600,250,0,1000,1,1w,burglary,0,0
600,250,0,1000,1,1w,vehicle,0.021,12.427
600,250,0,1000,1,2w,all,0.643,32.022
600,250,0,1000,1,2w,street,0.549,49.174
600,250,0,1000,1,2w,burglary,0,0
600,250,0,1000,1,2w,vehicle,0.06,19.046
600,250,0,1000,1,1m,all,0.667,31.345
600,250,0,1000,1,1m,street,0.62,46.561
600,250,0,1000,1,1m,burglary,0,0
600,250,0,1000,1,1m,vehicle,0.071,11.509
600,250,0,1000,1,2m,all,0.687,31.272
600,250,0,1000,1,2m,street,0.7,48.709
600,250,0,1000,1,2m,burglary,0,0
600,250,0,1000,1,2m,vehicle,0.103,11.749
600,250,0,1000,1,3m,all,0.708,31.631
600,250,0,1000,1,3m,street,0.703,46.923
600,250,0,1000,1,3m,burglary,0.019,3.319
600,250,0,1000,1,3m,vehicle,0.136,13.998
600,425,0,500,1,1w,all,0.68,30.233
600,425,0,500,1,1w,street,0.6,50.794
600,425,0,500,1,1w,burglary,0.091,52.429
600,425,0,500,1,1w,vehicle,0.069,24.541
600,425,0,500,1,2w,all,0.691,28.722
600,425,0,500,1,2w,street,0.709,48.554
600,425,0,500,1,2w,burglary,0.071,41.194
600,425,0,500,1,2w,vehicle,0.125,25.075
600,425,0,500,1,1m,all,0.772,29.889
600,425,0,500,1,1m,street,0.768,48.932
600,425,0,500,1,1m,burglary,0.062,16.246
600,425,0,500,1,1m,vehicle,0.211,22.728
600,425,0,500,1,2m,all,0.813,30.508
600,425,0,500,1,2m,street,0.817,49.79
600,425,0,500,1,2m,burglary,0.057,8.544
600,425,0,500,1,2m,vehicle,0.157,13.258
600,425,0,500,1,3m,all,0.823,30.848
600,425,0,500,1,3m,street,0.825,48.722
600,425,0,500,1,3m,burglary,0.057,6.554
600,425,0,500,1,3m,vehicle,0.2,15.078
600,425,0,800,1,1w,all,0.677,30.08
600,425,0,800,1,1w,street,0.6,50.794
600,425,0,800,1,1w,burglary,0,0
600,425,0,800,1,1w,vehicle,0.069,24.541
600,425,0,800,1,2w,all,0.714,29.662
600,425,0,800,1,2w,street,0.669,45.857
600,425,0,800,1,2w,burglary,0,0
600,425,0,800,1,2w,vehicle,0.125,25.075
600,425,0,800,1,1m,all,0.776,30.06
600,425,0,800,1,1m,street,0.721,45.974
600,425,0,800,1,1m,burglary,0,0
600,425,0,800,1,1m,vehicle,0.132,14.205
600,425,0,800,1,2m,all,0.822,30.861
600,425,0,800,1,2m,street,0.788,47.989
600,425,0,800,1,2m,burglary,0,0
600,425,0,800,1,2m,vehicle,0.118,9.943
600,425,0,800,1,3m,all,0.839,31.443
600,425,0,800,1,3m,street,0.79,46.64
600,425,0,800,1,3m,burglary,0.029,3.277
600,425,0,800,1,3m,vehicle,0.167,12.565
600,425,0,1000,1,1w,all,0.68,30.233
600,425,0,1000,1,1w,street,0.588,49.735
600,425,0,1000,1,1w,burglary,0,0
600,425,0,1000,1,1w,vehicle,0.034,12.271
600,425,0,1000,1,2w,all,0.708,29.427
600,425,0,1000,1,2w,street,0.709,48.554
600,425,0,1000,1,2w,burglary,0,0
600,425,0,1000,1,2w,vehicle,0.062,12.537
600,425,0,1000,1,1m,all,0.753,29.17
600,425,0,1000,1,1m,street,0.718,45.746
600,425,0,1000,1,1m,burglary,0,0
600,425,0,1000,1,1m,vehicle,0.079,8.523
600,425,0,1000,1,2m,all,0.801,30.07
600,425,0,1000,1,2m,street,0.783,47.672
600,425,0,1000,1,2m,burglary,0,0
600,425,0,1000,1,2m,vehicle,0.078,6.629
600,425,0,1000,1,3m,all,0.817,30.625
600,425,0,1000,1,3m,street,0.786,46.409
600,425,0,1000,1,3m,burglary,0.029,3.277
600,425,0,1000,1,3m,vehicle,0.133,10.052
600,600,0,500,1,1w,all,0.847,31.95
600,600,0,500,1,1w,street,0.573,45.123
600,600,0,500,1,1w,burglary,0,0
600,600,0,500,1,1w,vehicle,0.095,24.337
600,600,0,500,1,2w,all,0.848,30.268
600,600,0,500,1,2w,street,0.724,44.94
600,600,0,500,1,2w,burglary,0.048,20.425
600,600,0,500,1,2w,vehicle,0.13,18.649
600,600,0,500,1,1m,all,0.89,31.032
600,600,0,500,1,1m,street,0.837,46.268
600,600,0,500,1,1m,burglary,0.042,8.055
600,600,0,500,1,1m,vehicle,0.182,16.904
600,600,0,500,1,2m,all,0.93,31.506
600,600,0,500,1,2m,street,0.889,48.85
600,600,0,500,1,2m,burglary,0.036,4.236
600,600,0,500,1,2m,vehicle,0.171,11.504
600,600,0,500,1,3m,all,0.938,31.759
600,600,0,500,1,3m,street,0.893,48.086
600,600,0,500,1,3m,burglary,0.036,3.25
600,600,0,500,1,3m,vehicle,0.222,12.46
600,600,0,800,1,1w,all,0.787,29.678
600,600,0,800,1,1w,street,0.64,50.37
600,600,0,800,1,1w,burglary,0,0
600,600,0,800,1,1w,vehicle,0.048,12.168
600,600,0,800,1,2w,all,0.843,30.113
600,600,0,800,1,2w,street,0.759,47.08
600,600,0,800,1,2w,burglary,0.048,20.425
600,600,0,800,1,2w,vehicle,0.13,18.649
600,600,0,800,1,1m,all,0.865,30.149
600,600,0,800,1,1m,street,0.833,46.042
600,600,0,800,1,1m,burglary,0.042,8.055
600,600,0,800,1,1m,vehicle,0.182,16.904
600,600,0,800,1,2m,all,0.887,30.053
600,600,0,800,1,2m,street,0.885,48.64
600,600,0,800,1,2m,burglary,0.036,4.236
